# Data printout from CCMC-simulation: version 1D-1.3
# Data type:  SWMF  Magnetosphere
# Run name:   Espen_Fredrick_032124_2
# Missing data:  -1.09951e+12
# year mo dy hr mn sc msc Kp K_12 K_13 K_14 K_15 K_16 K_17 K_18 K_19 K_20 K_21 K_22 K_23 K_00 K_01 K_02 K_03 K_04 K_05 K_06 K_07 K_08 K_09 K_10 K_11 AL AU AE AO 
# [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] [] 
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.00000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -4.29000E+00  6.74000E+01  7.16900E+01  3.15600E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.10000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -4.95000E+00  6.93900E+01  7.43400E+01  3.22200E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.20000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -5.86000E+00  7.16900E+01  7.75500E+01  3.29100E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.30000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -6.79000E+00  7.27400E+01  7.95300E+01  3.29800E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.40000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -7.58000E+00  7.51100E+01  8.26900E+01  3.37600E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.50000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -8.19000E+00  7.86400E+01  8.68300E+01  3.52300E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.60000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -8.59000E+00  8.18900E+01  9.04700E+01  3.66500E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.70000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -9.15000E+00  8.35400E+01  9.26900E+01  3.72000E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.80000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -9.93000E+00  8.66200E+01  9.65500E+01  3.83400E+01
  2.01200E+03  1.10000E+01  1.30000E+01  1.10000E+01  3.90000E+01  0.00000E+00  0.00000E+00  1.33000E+00  2.00000E+00  1.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  2.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00  1.00000E+00 -1.08300E+01  8.61900E+01  9.70200E+01  3.76800E+01
